id,osm_id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,train,wkt
11647303-0,11647303,104108505,8942160521,11.815198332259401,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(-74.6608113 40.3493813, -74.6608557 40.3494819)"
11647303-1,11647303,8942160521,10759732105,29.08895365582148,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(-74.6608557 40.3494819, -74.6609695 40.3497284)"
11647303-2,11647303,10759732105,8942477497,18.63899482482765,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(-74.6609695 40.3497284, -74.6610351 40.3498882)"
11647303-3,11647303,8942477497,103984130,5.57971129269022,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(-74.6610351 40.3498882, -74.6610561 40.3499357)"
11647358-0,11647358,608690323,8942159412,10.225448368298128,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6606417 40.3494274, -74.6605997 40.3493413)"
11647358-1,11647358,8942159412,4941740466,41.44517688816149,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6605997 40.3493413, -74.6605951 40.3493318, -74.6605754 40.3492883, -74.6604398 40.3489895)"
11647360-0,11647360,1546023983,9959259106,11.213794915653605,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6578073 40.3484616, -74.6577938 40.3484832, -74.6577938 40.3485057, -74.6578183 40.3485567)"
11647360-1,11647360,9959259106,3447413592,15.047390477698801,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6578183 40.3485567, -74.6578794 40.3486836)"
11647360-2,11647360,3447413592,2115092032,6.3183020170358395,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6578794 40.3486836, -74.6579050 40.3487369)"
11647360-3,11647360,2115092032,1546023995,4.145627317424761,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6579050 40.3487369, -74.6579234 40.3487714)"
11647868-0,11647868,104016452,5710132587,6.14153946968031,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6611197 40.3460392, -74.6611812 40.3460101)"
11647868-1,11647868,5710132587,11124620551,13.862315998887592,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6611812 40.3460101, -74.6613200 40.3459444)"
11647868-2,11647868,11124620551,9039482597,21.69175452797262,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6613200 40.3459444, -74.6615372 40.3458416)"
11647868-3,11647868,9039482597,7889842640,3.1381810990424372,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6615372 40.3458416, -74.6615686 40.3458267)"
11647868-4,11647868,7889842640,7889842622,27.87979172249592,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6615686 40.3458267, -74.6618477 40.3456945)"
11647868-5,11647868,7889842622,11124620555,59.70445193555027,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6618477 40.3456945, -74.6621322 40.3455598, -74.6622680 40.3454858, -74.6624382 40.3454031)"
11647868-6,11647868,11124620555,104052252,8.988417422277003,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6624382 40.3454031, -74.6625325 40.3453663)"
27313080-0,27313080,1539925632,3833707886,95.35230559886824,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6587121 40.3438176, -74.6587224 40.3439617, -74.6587218 40.3440507, -74.6587278 40.3442610, -74.6587399 40.3445447, -74.6587466 40.3446152, -74.6587590 40.3446728)"
27313080-1,27313080,3833707886,1540034362,19.40435798809693,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6587590 40.3446728, -74.6587763 40.3447167, -74.6588468 40.3448334)"
27313080-2,27313080,1540034362,300153911,30.13654984555788,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6588468 40.3448334, -74.6589766 40.3450854)"
27313080-3,27313080,300153911,1540024900,96.92065551070976,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6589766 40.3450854, -74.6590911 40.3452951, -74.6591622 40.3454442, -74.6592345 40.3455779, -74.6593227 40.3456919, -74.6594781 40.3458628)"
27313080-4,27313080,1540024900,5420778241,65.60879580939803,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6594781 40.3458628, -74.6595731 40.3459445, -74.6598672 40.3461918, -74.6599050 40.3462395, -74.6599466 40.3463245)"
27313151-0,27313151,104109643,2115090989,26.006091651837167,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6595659 40.3476552, -74.6594308 40.3478147, -74.6593995 40.3478514)"
27313151-1,27313151,2115090989,2115087324,37.19540192959965,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6593995 40.3478514, -74.6593435 40.3478755, -74.6589864 40.3479605)"
27313151-2,27313151,2115087324,2115091340,38.03762147622995,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6589864 40.3479605, -74.6585675 40.3480823)"
27313151-3,27313151,2115091340,2115083986,37.512078314370875,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6585675 40.3480823, -74.6581497 40.3481926)"
27313151-4,27313151,2115083986,1546023997,25.635182267058376,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6581497 40.3481926, -74.6580184 40.3482273, -74.6579796 40.3482480, -74.6579467 40.3482870, -74.6579307 40.3483271)"
27313210-0,27313210,299815538,299815542,102.59126227115252,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(-74.6530316 40.3447285, -74.6528861 40.3445164, -74.6526494 40.3442203, -74.6524314 40.3439288)"
